Rank,Name,ID,Played,Wins,Draws,Losses,Points,GF,GA,GD,Form
1,RB Leipzig,173,5,4,1,0,13,13,3,10,WDWWW
2,Bayern Munich,157,5,3,2,0,11,16,4,12,WDWWD
3,Borussia Dortmund,165,5,3,1,1,10,15,7,8,DWLWW
4,SC Freiburg,160,5,3,1,1,10,11,4,7,DWLWW
5,FC Schalke 04,174,5,3,1,1,10,10,5,5,WWWLD
6,Borussia Monchengladbach,163,5,3,1,1,10,7,5,2,WWLWD
7,Bayer Leverkusen,168,5,3,1,1,10,8,7,1,WLDWW
8,VfL Wolfsburg,161,5,2,3,0,9,8,4,4,DDDWW
9,Eintracht Frankfurt,169,5,2,1,2,7,7,7,0,DLWLW
10,Werder Bremen,162,5,2,0,3,6,8,12,-4,LWWLL
11,1899 Hoffenheim,167,5,1,2,2,5,4,7,-3,DLDWL
12,FC Augsburg,170,5,1,2,2,5,7,11,-4,DWLDL
13,Fortuna Dusseldorf,158,5,1,1,3,4,7,9,-2,LDLLW
14,Union Berlin,182,5,1,1,3,4,5,10,-5,LLWDL
15,Hertha Berlin,159,5,1,1,3,4,5,11,-6,WLLLD
16,FC Koln,192,5,1,0,4,3,4,11,-7,LLWLL
17,FSV Mainz 05,164,5,1,0,4,3,5,15,-10,LWLLL
18,SC Paderborn 07,185,5,0,1,4,1,6,14,-8,LLDLL
