Rank,Name,ID,Played,Wins,Draws,Losses,Points,GF,GA,GD,Form
1,New York City FC,1604,31,16,10,5,58,57,38,19,DWDWW
2,Atlanta United FC,1608,31,17,3,11,54,53,37,16,WWLLW
3,Philadelphia Union,1599,31,15,7,9,52,55,45,10,LDWWL
4,DC United,1615,32,13,9,10,48,42,38,4,WWWLL
5,New York Red Bulls,1602,32,14,5,13,47,53,48,5,WWLLL
6,Toronto FC,1601,32,12,10,10,46,54,50,4,DWDWD
7,New England Revolution,1609,31,10,11,10,41,45,52,-7,DDLDW
8,Chicago Fire,1607,32,9,11,12,38,48,43,5,DWDLW
9,Montreal Impact,1614,32,11,4,17,37,43,59,-16,LLLWL
10,Orlando City SC,1598,32,9,9,14,36,41,46,-5,LDDLL
11,Columbus Crew,1613,32,9,8,15,35,37,46,-9,DWDWL
12,FC Cincinnati,2242,32,6,4,22,22,30,74,-44,DLWLL
1,Los Angeles FC,1616,31,19,8,4,65,78,34,44,DDDLD
2,Seattle Sounders,1595,32,14,8,10,50,50,49,1,LDWLW
3,Minnesota Stars FC,1612,31,14,7,10,49,49,40,9,DWLWL
4,Los Angeles Galaxy,1605,31,15,3,13,48,51,50,1,WWLLD
5,Real Salt Lake,1606,31,14,5,12,47,42,38,4,DLWLW
6,FC Dallas,1597,32,12,9,11,45,48,43,5,DDLWW
7,San Jose Earthquakes,1596,31,13,5,13,44,50,49,1,LLLWW
8,Portland Timbers,1617,31,13,5,13,44,45,44,1,DLLWW
9,Colorado Rapids,1610,32,11,6,15,39,54,60,-6,WLWWW
10,Houston Dynamo,1600,31,11,4,16,37,43,52,-9,WLWLL
11,Sporting Kansas City,1611,31,10,7,14,37,46,57,-11,LLLWW
12,Vancouver Whitecaps,1603,32,7,10,15,31,33,55,-22,DWLLL
