Rank,Name,ID,Played,Wins,Draws,Losses,Points,GF,GA,GD,Form
1,Athletic Club,531,5,3,2,0,11,6,1,5,WDWDW
2,Real Madrid,541,5,3,2,0,11,10,6,4,WWDDW
3,Granada CF,715,5,3,1,1,10,11,5,6,WWWLD
4,Real Sociedad,548,5,3,1,1,10,7,4,3,WWLWD
5,Sevilla,536,5,3,1,1,10,5,2,3,LWDWW
6,Atletico Madrid,530,5,3,1,1,10,5,4,1,DLWWW
7,Villarreal,533,5,2,2,1,8,12,8,4,WWDLD
8,Barcelona,529,5,2,1,2,7,12,9,3,LWDWL
9,Levante,539,5,2,1,2,7,6,5,1,DLWWL
10,Osasuna,727,5,1,4,0,7,4,3,1,DDDDW
11,Getafe,546,5,1,3,1,6,7,6,1,WDDDL
12,Valencia,532,5,1,2,2,5,6,8,-2,DLWLD
13,Alaves,542,5,1,2,2,5,2,4,-2,LLDDW
14,Real Betis,543,5,1,2,2,5,6,9,-3,DDWLL
15,Valladolid,720,5,1,2,2,5,4,7,-3,LDLDW
16,Celta Vigo,538,5,1,2,2,5,3,6,-3,DLDWL
17,Mallorca,798,5,1,1,3,4,4,8,-4,LDLLW
18,Espanyol,540,5,1,1,3,4,3,9,-6,LWLDL
19,Eibar,545,5,0,2,3,2,4,7,-3,DLLDL
20,Leganes,537,5,0,1,4,1,2,8,-6,DLLLL
