Rank,Name,ID,Played,Wins,Draws,Losses,Points,GF,GA,GD,Form
1,Inter,505,3,3,0,0,9,7,1,6,WWW
2,Bologna,500,3,2,1,0,7,6,4,2,WWD
3,Juventus,496,3,2,1,0,7,5,3,2,DWW
4,Napoli,492,3,2,0,1,6,9,7,2,WLW
5,Atalanta,499,3,2,0,1,6,7,6,1,WLW
6,Torino,503,3,2,0,1,6,6,5,1,LWW
7,AC Milan,489,3,2,0,1,6,2,1,1,WWL
8,AS Roma,497,3,1,2,0,5,8,6,2,WDD
9,Lazio,487,3,1,1,1,4,5,3,2,LDW
10,Genoa,495,3,1,1,1,4,6,6,0,LWD
11,Verona,504,3,1,1,1,4,2,2,0,LWD
12,Sassuolo,488,3,1,0,2,3,7,7,0,LWL
13,Cagliari,490,3,1,0,2,3,4,4,0,WLL
14,Brescia,518,3,1,0,2,3,4,5,-1,LLW
15,Spal,493,3,1,0,2,3,4,5,-1,WLL
16,Parma,523,3,1,0,2,3,4,5,-1,LWL
17,Udinese,494,3,1,0,2,3,2,4,-2,LLW
18,Lecce,867,3,1,0,2,3,2,6,-4,WLL
19,Fiorentina,502,3,0,1,2,1,4,6,-2,DLL
20,Sampdoria,498,3,0,0,3,0,1,9,-8,LLL
