,Name,Type,Date,New_Team
0,Riccardo Orsolini,,2019-07-01,Juventus
1,Roman Macek,,2019-07-01,Juventus
2,Emil Audero Mulyadi,,2019-07-01,Juventus
3,Alberto Cerri,,2019-07-01,Juventus
4,Andrea Favilli,,2019-07-01,Juventus
5,Davide Cais,Free,2019-07-11,Arzignano
6,Danilo,Swap,2019-08-07,Juventus
7,C. Romero,€ 26M,2019-07-11,Juventus
8,G. Buffon,Free,2019-07-04,Juventus
9,Roger Tamba M'Pinda,,2019-07-01,Juventus
10,A. Rabiot,Free,2019-07-01,Juventus
11,D. Del Fabro,,2019-07-01,Juventus
12,M. Pjaca,,2019-07-01,Juventus
13,A. Ramsey,Free,2019-07-01,Juventus
14,G. Higuaín,,2019-07-01,Juventus
15,R. Orsolini,,2019-06-30,Juventus
16,A. Cerri,,2019-06-30,Juventus
17,S. Sturaro,,2019-06-30,Juventus
18,L. Marrone,,2019-06-30,Juventus
19,Benjamin Mokulu Tembe,,2019-01-30,Juventus
20,Matheus Pereira,Loan,2019-08-29,Dijon
21,S. Mavididi,Loan,2019-08-29,Dijon
22,L. Pellegrini,Loan,2019-08-20,Cagliari
23,João Cancelo,€ 65M,2019-08-07,Manchester City
24,M. Kean,€ 33M,2019-08-04,Everton
25,L. Mancuso,,2019-07-13,Empoli
26,F. Del Sole,Loan,2019-07-12,Juve Stabia
27,C. Romero,Loan,2019-07-12,Genoa
28,Roger Tamba M'Pinda,,2019-07-02,Apollon Limassol
29,R. Orsolini,€ 15M,2019-07-01,Bologna
30,A. Favilli,,2019-07-01,Genoa
31,A. Cerri,€ 9M,2019-07-01,Cagliari
32,S. Sturaro,€ 16.5M,2019-07-01,Genoa
33,L. Marrone,€ 1M,2019-07-01,Verona
34,S. Sturaro,Loan,2019-01-24,Genoa
35,G. Higuaín,Loan,2019-01-23,Chelsea
36,M. Cáceres,,2019-07-01,Lazio
37,M. Cáceres,Loan,2019-01-29,Juventus
38,Nicola Mosti,Loan,2019-08-02,Monza
39,Claudio Zappa,Loan,2019-01-31,Novara
40,L. Mancuso,Free,2019-07-13,Juventus
41,F. Del Sole,,2019-07-01,Juventus
42,Mattia Del Favero,Loan,2019-07-22,Piacenza
43,A. Vogliacco,Loan,2019-01-21,Pordenone
44,Simone Emmanuello,,2019-01-31,PRO Vercelli
45,Stefano Pellizzari,Free,2019-07-24,Ravenna
46,L. Spinazzola,€ 29.5M,2019-07-01,AS Roma
47,L. Pellegrini,€ 22M,2019-07-01,Juventus
48,E. Audero,€ 20M,2019-07-01,Sampdoria
49,E. Audero,,2019-06-30,Juventus
50,Rogério,,2019-07-01,Sassuolo
51,M. Demiral,€ 18.1M,2019-07-05,Juventus
52,Rogério,,2019-06-30,Juventus
53,L. Brănescu,Loan,2019-02-12,FK Zalgiris Vilnius
54,L. Brănescu,,2019-07-01,Juventus
55,M. de Ligt,€ 75M,2019-07-18,Juventus
56,S. Beltrame,,2019-07-01,Juventus
57,Medhi Amine El Mouttaqi Benatia,€ 8M,2019-01-28,Al-Duhail SC
58,D. Del Fabro,,2019-08-30,Kilmarnock
59,L. Brănescu,Loan,2019-07-08,Kilmarnock
60,Stefano Padovan,Free,2019-07-22,Imolese
61,Oumar Toure,Loan,2019-01-31,Sparti
62,Ramón da Silva Costa,,2019-05-26,Pknp
63,Benjamin Mokulu Tembe,,2019-07-16,Padova
64,Luca Clemenza,,2019-07-01,Juventus
65,A. Vogliacco,Loan,2018-08-17,Padova
66,Luca Clemenza,Loan,2018-08-17,Padova
67,Eric Lanini,Loan,2018-01-31,Padova
68,Luca Barlocco,Free,2019-07-01,Vicenza Virtus
69,Francesco Anacoura,Loan,2017-01-19,Ancona
70,Francesco Anacoura,,2017-07-01,Juventus
71,Davide Cais,Free,2019-07-11,Arzignano Valchiampo
72,Henrique Coelho dos Santos Oliveira,Free,2019-01-01,Gimhae City
