,Name,Type,Date,New_Team
0,T. Richards,,2019-07-18,Brighton
1,T. Richards,,2019-07-18,Brighton
2,P. Sandler,Loan,2019-07-17,Anderlecht
3,V. Kompany,Free,2019-07-01,Anderlecht
4,S. Carson,Loan,2019-08-08,Manchester City
5,Ernest Agyiri,,2019-08-01,Manchester City
6,Angeliño,€ 12M,2019-07-03,Manchester City
7,Collins Tanor,,2019-07-01,Manchester City
8,E. Mangala,,2019-07-01,Manchester City
9,A. Palaversa,€ 6.3M,2019-01-31,Manchester City
10,B. Barker,,2019-08-09,Rangers
11,L. Bolton,Loan,2019-08-08,Luton
12,T. Agyepong,Loan,2019-08-05,Waasland-beveren
13,E. Palmer-Brown,Loan,2019-08-05,Austria Vienna
14,T. Richards,,2019-08-01,Brighton
15,T. Adarabioyo,Loan,2019-07-31,Blackburn
16,Douglas Luiz,€ 16.7M,2019-07-25,Aston Villa
17,T. Richards,,2019-07-18,Brighton U21
18,Pablo Marí,,2019-07-18,Flamengo
19,P. Sandler,Loan,2019-07-17,Anderlecht
20,F. Delph,€ 9.5M,2019-07-15,Everton
21,A. Palaversa,Loan,2019-07-03,Oostende
22,V. Kompany,Free,2019-07-01,Anderlecht
23,A. Palaversa,Loan,2019-01-31,HNK Hajduk Split
24,Collins Tanor,Loan,2019-01-31,Thisted FC
25,P. Roberts,Loan,2019-07-01,Norwich
26,A. Murić,Loan,2019-07-09,Nottingham Forest
27,L. Nmecha,,2019-07-01,Manchester City
28,T. Adarabioyo,,2019-07-01,Manchester City
29,L. Bolton,Loan,2019-01-24,Wycombe
30,L. Bolton,,2019-07-01,Manchester City
31,T. Ambrose,€ 2.5M,2019-07-01,Metz
32,Z. Steffen,Loan,2019-07-10,Fortuna Dusseldorf
33,L. Nmecha,Loan,2019-08-03,VfL Wolfsburg
34,Danilo,Swap,2019-08-07,Juventus
35,João Cancelo,€ 65M,2019-08-07,Manchester City
36,Paolo Fernandes,Loan,2019-07-17,Perugia
37,R. Meshino,,2019-08-21,Manchester City
38,K. Itakura,€ 1.1M,2019-01-14,Manchester City
39,K. Itakura,Loan,2019-01-15,Groningen
40,Luka Ilić,Loan,2019-08-03,NAC Breda
41,Angeliño,€ 12M,2019-07-03,Manchester City
42,M. Moreno,Loan,2019-07-29,Portimonense
43,R. Meshino,Loan,2019-08-30,Heart OF Midlothian
44,B. Barker,,2019-08-09,Rangers
45,Rodri Hernández,€ 70M,2019-07-04,Manchester City
46,Pedro Porro,€ 12M,2019-08-09,Manchester City
47,Douglas Luiz,,2019-07-01,Manchester City
48,P. Roberts,,2019-07-01,Manchester City
49,Aleix García,,2019-07-01,Manchester City
50,Y. Herrera,Loan,2019-07-26,Granada CF
51,Y. Herrera,Loan,2019-01-16,Huesca
52,Brahim Díaz,€ 15M,2019-01-07,Real Madrid
53,Pedro Porro,Loan,2019-08-12,Valladolid
54,E. Mangala,,2019-08-12,Valencia
55,Z. Steffen,,2019-07-09,Manchester City
56,Ernest Agyiri,Loan,2019-08-15,Enosis
