,Round,Home_Team,Home_Goals,Away_Team,Away_Goals,Date,Venue,Referee,Elapsed
0,Regular Season - 1,Bayer Leverkusen,3,SC Paderborn 07,2,2019-08-17T13:30:00+00:00,BayArena (Leverkusen),,90
1,Regular Season - 2,Fortuna Dusseldorf,1,Bayer Leverkusen,3,2019-08-24T13:30:00+00:00,Merkur Spiel-Arena (Düsseldorf),,90
2,Regular Season - 3,Bayer Leverkusen,0,1899 Hoffenheim,0,2019-08-31T13:30:00+00:00,BayArena (Leverkusen),,90
3,Regular Season - 4,Borussia Dortmund,4,Bayer Leverkusen,0,2019-09-14T13:30:00+00:00,Signal-Iduna-Park (Dortmund),,90
4,Regular Season - 5,Bayer Leverkusen,2,Union Berlin,0,2019-09-21T13:30:00+00:00,BayArena (Leverkusen),,90
5,Regular Season - 6,FC Augsburg,0,Bayer Leverkusen,3,2019-09-28T13:30:00+00:00,WWK Arena,,90
6,Regular Season - 7,Bayer Leverkusen,,RB Leipzig,,2019-10-05T13:30:00+00:00,BayArena (Leverkusen),,0
7,Regular Season - 8,Eintracht Frankfurt,,Bayer Leverkusen,,2019-10-18T18:30:00+00:00,Commerzbank-Arena (Frankfurt am Main),,0
8,Regular Season - 9,Bayer Leverkusen,,Werder Bremen,,2019-10-26T16:30:00+00:00,BayArena (Leverkusen),,0
9,Regular Season - 10,Bayer Leverkusen,,Borussia Monchengladbach,,2019-11-02T14:30:00+00:00,BayArena (Leverkusen),,0
10,Regular Season - 11,VfL Wolfsburg,,Bayer Leverkusen,,2019-11-10T14:30:00+00:00,VOLKSWAGEN ARENA (Wolfsburg),,0
11,Regular Season - 12,Bayer Leverkusen,,SC Freiburg,,2019-11-23T14:30:00+00:00,BayArena (Leverkusen),,0
12,Regular Season - 13,Bayern Munich,,Bayer Leverkusen,,2019-11-30T17:30:00+00:00,Allianz Arena (München),,0
13,Regular Season - 14,Bayer Leverkusen,,FC Schalke 04,,2019-12-07T17:30:00+00:00,BayArena (Leverkusen),,0
14,Regular Season - 15,FC Koln,,Bayer Leverkusen,,2019-12-14T14:30:00+00:00,RheinEnergieStadion (Köln),,0
15,Regular Season - 16,Bayer Leverkusen,,Hertha Berlin,,2019-12-18T17:30:00+00:00,BayArena (Leverkusen),,0
16,Regular Season - 17,FSV Mainz 05,,Bayer Leverkusen,,2019-12-21T14:30:00+00:00,OPEL ARENA (Mainz),,0
17,Regular Season - 18,SC Paderborn 07,,Bayer Leverkusen,,2020-01-17T00:00:00+00:00,Benteler-Arena (Paderborn),,0
18,Regular Season - 19,Bayer Leverkusen,,Fortuna Dusseldorf,,2020-01-24T00:00:00+00:00,BayArena (Leverkusen),,0
19,Regular Season - 20,1899 Hoffenheim,,Bayer Leverkusen,,2020-01-31T00:00:00+00:00,PreZero Arena (Sinsheim),,0
20,Regular Season - 21,Bayer Leverkusen,,Borussia Dortmund,,2020-02-07T00:00:00+00:00,BayArena (Leverkusen),,0
21,Regular Season - 22,Union Berlin,,Bayer Leverkusen,,2020-02-14T00:00:00+00:00,Stadion An der Alten Försterei (Berlin),,0
22,Regular Season - 23,Bayer Leverkusen,,FC Augsburg,,2020-02-21T00:00:00+00:00,BayArena (Leverkusen),,0
23,Regular Season - 24,RB Leipzig,,Bayer Leverkusen,,2020-02-28T00:00:00+00:00,Red Bull Arena (Leipzig),,0
24,Regular Season - 25,Bayer Leverkusen,,Eintracht Frankfurt,,2020-03-06T00:00:00+00:00,BayArena (Leverkusen),,0
25,Regular Season - 26,Werder Bremen,,Bayer Leverkusen,,2020-03-13T00:00:00+00:00,wohninvest WESERSTADION (Bremen),,0
26,Regular Season - 27,Borussia Monchengladbach,,Bayer Leverkusen,,2020-03-20T00:00:00+00:00,Stadion im BORUSSIA-PARK (Mönchengladbach),,0
27,Regular Season - 28,Bayer Leverkusen,,VfL Wolfsburg,,2020-04-03T00:00:00+00:00,BayArena (Leverkusen),,0
28,Regular Season - 29,SC Freiburg,,Bayer Leverkusen,,2020-04-10T00:00:00+00:00,Schwarzwald-Stadion (Freiburg im Breisgau),,0
29,Regular Season - 30,Bayer Leverkusen,,Bayern Munich,,2020-04-17T00:00:00+00:00,BayArena (Leverkusen),,0
30,Regular Season - 31,FC Schalke 04,,Bayer Leverkusen,,2020-04-24T00:00:00+00:00,VELTINS-Arena (Gelsenkirchen),,0
31,Regular Season - 32,Bayer Leverkusen,,FC Koln,,2020-05-01T00:00:00+00:00,BayArena (Leverkusen),,0
32,Regular Season - 33,Hertha Berlin,,Bayer Leverkusen,,2020-05-09T13:30:00+00:00,Olympiastadion Berlin (Berlin),,0
33,Regular Season - 34,Bayer Leverkusen,,FSV Mainz 05,,2020-05-16T13:30:00+00:00,BayArena (Leverkusen),,0
