,Round,Home_Team,Home_Goals,Away_Team,Away_Goals,Date,Venue,Referee,Elapsed
0,Regular Season - 1,Parma,0,Juventus,1,2019-08-24T16:00:00+00:00,Stadio Ennio Tardini (Parma),,90
1,Regular Season - 2,Juventus,4,Napoli,3,2019-08-31T18:45:00+00:00,Allianz Stadium (Torino),,90
2,Regular Season - 3,Fiorentina,0,Juventus,0,2019-09-14T13:00:00+00:00,Stadio Artemio Franchi,,90
3,Regular Season - 4,Juventus,2,Verona,1,2019-09-21T16:00:00+00:00,Allianz Stadium,,90
4,Regular Season - 5,Brescia,1,Juventus,2,2019-09-24T19:00:00+00:00,Stadio Mario Rigamonti,,90
5,Regular Season - 6,Juventus,2,Spal,0,2019-09-28T13:00:00+00:00,Allianz Stadium,,90
6,Regular Season - 7,Inter,,Juventus,,2019-10-06T18:45:00+00:00,Stadio Giuseppe Meazza (Milano),,0
7,Regular Season - 8,Juventus,,Bologna,,2019-10-19T18:45:00+00:00,Allianz Stadium (Torino),,0
8,Regular Season - 9,Lecce,,Juventus,,2019-10-26T13:00:00+00:00,Stadio Comunale Via del Mare (Lecce),,0
9,Regular Season - 10,Juventus,,Genoa,,2019-10-30T20:00:00+00:00,Allianz Stadium (Torino),,0
10,Regular Season - 11,Torino,,Juventus,,2019-11-02T19:45:00+00:00,Stadio Olimpico Grande Torino (Torino),,0
11,Regular Season - 12,Juventus,,AC Milan,,2019-11-10T19:45:00+00:00,Allianz Stadium (Torino),,0
12,Regular Season - 13,Atalanta,,Juventus,,2019-11-23T14:00:00+00:00,Gewiss Stadium (Bergamo),,0
13,Regular Season - 14,Juventus,,Sassuolo,,2019-12-01T11:30:00+00:00,Allianz Stadium (Torino),,0
14,Regular Season - 15,Lazio,,Juventus,,2019-12-07T19:45:00+00:00,Stadio Olimpico (Roma),,0
15,Regular Season - 16,Juventus,,Udinese,,2019-12-15T14:00:00+00:00,Allianz Stadium (Torino),,0
16,Regular Season - 17,Sampdoria,,Juventus,,2019-12-21T00:00:00+00:00,Stadio Comunale Luigi Ferraris (Genova),,0
17,Regular Season - 18,Juventus,,Cagliari,,2020-01-04T00:00:00+00:00,Allianz Stadium (Torino),,0
18,Regular Season - 19,AS Roma,,Juventus,,2020-01-12T19:45:00+00:00,Stadio Olimpico (Roma),,0
19,Regular Season - 20,Juventus,,Parma,,2020-01-18T00:00:00+00:00,Allianz Stadium (Torino),,0
20,Regular Season - 21,Napoli,,Juventus,,2020-01-25T00:00:00+00:00,Stadio San Paolo (Napoli),,0
21,Regular Season - 22,Juventus,,Fiorentina,,2020-02-01T00:00:00+00:00,Allianz Stadium (Torino),,0
22,Regular Season - 23,Verona,,Juventus,,2020-02-08T00:00:00+00:00,Stadio Marc'Antonio Bentegodi (Verona),,0
23,Regular Season - 24,Juventus,,Brescia,,2020-02-15T00:00:00+00:00,Allianz Stadium (Torino),,0
24,Regular Season - 25,Spal,,Juventus,,2020-02-22T00:00:00+00:00,Stadio Paolo Mazza (Ferrara),,0
25,Regular Season - 26,Juventus,,Inter,,2020-02-29T00:00:00+00:00,Allianz Stadium (Torino),,0
26,Regular Season - 27,Bologna,,Juventus,,2020-03-07T00:00:00+00:00,Stadio Renato Dall'Ara (Bologna),,0
27,Regular Season - 28,Juventus,,Lecce,,2020-03-14T00:00:00+00:00,Allianz Stadium (Torino),,0
28,Regular Season - 29,Genoa,,Juventus,,2020-03-21T00:00:00+00:00,Stadio Comunale Luigi Ferraris (Genova),,0
29,Regular Season - 30,Juventus,,Torino,,2020-04-04T00:00:00+00:00,Allianz Stadium (Torino),,0
30,Regular Season - 31,AC Milan,,Juventus,,2020-04-10T00:00:00+00:00,Stadio Giuseppe Meazza (Milano),,0
31,Regular Season - 32,Juventus,,Atalanta,,2020-04-18T00:00:00+00:00,Allianz Stadium (Torino),,0
32,Regular Season - 33,Sassuolo,,Juventus,,2020-04-21T00:00:00+00:00,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia),,0
33,Regular Season - 34,Juventus,,Lazio,,2020-04-25T00:00:00+00:00,Allianz Stadium (Torino),,0
34,Regular Season - 35,Udinese,,Juventus,,2020-05-02T00:00:00+00:00,Dacia Arena (Udine),,0
35,Regular Season - 36,Juventus,,Sampdoria,,2020-05-09T00:00:00+00:00,Allianz Stadium (Torino),,0
36,Regular Season - 37,Cagliari,,Juventus,,2020-05-16T00:00:00+00:00,Sardegna Arena (Cagliari),,0
37,Regular Season - 38,Juventus,,AS Roma,,2020-05-23T00:00:00+00:00,Allianz Stadium (Torino),,0
