,Name,Old_Team,Fee,New_Team,Date
0,Riccardo Orsolini,Bologna,,Juventus,2019-07-01
1,Roman Macek,Lugano,,Juventus,2019-07-01
2,Emil Audero Mulyadi,Sampdoria,,Juventus,2019-07-01
3,Alberto Cerri,Cagliari,,Juventus,2019-07-01
4,Andrea Favilli,Genoa,,Juventus,2019-07-01
5,Davide Cais,Juventus,Free,Arzignano,2019-07-11
6,Danilo,Manchester City,Swap,Juventus,2019-08-07
7,C. Romero,Genoa,€ 26M,Juventus,2019-07-11
8,G. Buffon,Paris Saint Germain,Free,Juventus,2019-07-04
9,Roger Tamba M'Pinda,NK Osijek,,Juventus,2019-07-01
10,A. Rabiot,Paris Saint Germain,Free,Juventus,2019-07-01
11,D. Del Fabro,Cremonese,,Juventus,2019-07-01
12,M. Pjaca,Fiorentina,,Juventus,2019-07-01
13,A. Ramsey,Arsenal,Free,Juventus,2019-07-01
14,G. Higuaín,Chelsea,,Juventus,2019-07-01
15,R. Orsolini,Bologna,,Juventus,2019-06-30
16,A. Cerri,Cagliari,,Juventus,2019-06-30
17,S. Sturaro,Genoa,,Juventus,2019-06-30
18,L. Marrone,Verona,,Juventus,2019-06-30
19,Benjamin Mokulu Tembe,Carpi,,Juventus,2019-01-30
20,Matheus Pereira,Juventus,Loan,Dijon,2019-08-29
21,S. Mavididi,Juventus,Loan,Dijon,2019-08-29
22,L. Pellegrini,Juventus,Loan,Cagliari,2019-08-20
23,João Cancelo,Juventus,€ 65M,Manchester City,2019-08-07
24,M. Kean,Juventus,€ 33M,Everton,2019-08-04
25,L. Mancuso,Juventus,,Empoli,2019-07-13
26,F. Del Sole,Juventus,Loan,Juve Stabia,2019-07-12
27,C. Romero,Juventus,Loan,Genoa,2019-07-12
28,Roger Tamba M'Pinda,Juventus,,Apollon Limassol,2019-07-02
29,R. Orsolini,Juventus,€ 15M,Bologna,2019-07-01
30,A. Favilli,Juventus,,Genoa,2019-07-01
31,A. Cerri,Juventus,€ 9M,Cagliari,2019-07-01
32,S. Sturaro,Juventus,€ 16.5M,Genoa,2019-07-01
33,L. Marrone,Juventus,€ 1M,Verona,2019-07-01
34,S. Sturaro,Juventus,Loan,Genoa,2019-01-24
35,G. Higuaín,Juventus,Loan,Chelsea,2019-01-23
36,M. Cáceres,Juventus,,Lazio,2019-07-01
37,M. Cáceres,Lazio,Loan,Juventus,2019-01-29
38,Nicola Mosti,Juventus,Loan,Monza,2019-08-02
39,Claudio Zappa,Juventus,Loan,Novara,2019-01-31
40,L. Mancuso,Pescara,Free,Juventus,2019-07-13
41,F. Del Sole,Pescara,,Juventus,2019-07-01
42,Mattia Del Favero,Juventus,Loan,Piacenza,2019-07-22
43,A. Vogliacco,Juventus,Loan,Pordenone,2019-01-21
44,Simone Emmanuello,Juventus,,PRO Vercelli,2019-01-31
45,Stefano Pellizzari,Juventus,Free,Ravenna,2019-07-24
46,L. Spinazzola,Juventus,€ 29.5M,AS Roma,2019-07-01
47,L. Pellegrini,AS Roma,€ 22M,Juventus,2019-07-01
48,E. Audero,Juventus,€ 20M,Sampdoria,2019-07-01
49,E. Audero,Sampdoria,,Juventus,2019-06-30
50,Rogério,Juventus,,Sassuolo,2019-07-01
51,M. Demiral,Sassuolo,€ 18.1M,Juventus,2019-07-05
52,Rogério,Sassuolo,,Juventus,2019-06-30
53,L. Brănescu,Juventus,Loan,FK Zalgiris Vilnius,2019-02-12
54,L. Brănescu,FK Zalgiris Vilnius,,Juventus,2019-07-01
55,M. de Ligt,Ajax,€ 75M,Juventus,2019-07-18
56,S. Beltrame,Den Bosch,,Juventus,2019-07-01
57,Medhi Amine El Mouttaqi Benatia,Juventus,€ 8M,Al-Duhail SC,2019-01-28
58,D. Del Fabro,Juventus,,Kilmarnock,2019-08-30
59,L. Brănescu,Juventus,Loan,Kilmarnock,2019-07-08
60,Stefano Padovan,Juventus,Free,Imolese,2019-07-22
61,Oumar Toure,Juventus,Loan,Sparti,2019-01-31
62,Ramón da Silva Costa,Juventus,,Pknp,2019-05-26
63,Benjamin Mokulu Tembe,Juventus,,Padova,2019-07-16
64,Luca Clemenza,Padova,,Juventus,2019-07-01
65,A. Vogliacco,Juventus,Loan,Padova,2018-08-17
66,Luca Clemenza,Juventus,Loan,Padova,2018-08-17
67,Eric Lanini,Juventus,Loan,Padova,2018-01-31
68,Luca Barlocco,Juventus,Free,Vicenza Virtus,2019-07-01
69,Francesco Anacoura,Juventus,Loan,Ancona,2017-01-19
70,Francesco Anacoura,Ancona,,Juventus,2017-07-01
71,Davide Cais,Juventus,Free,Arzignano Valchiampo,2019-07-11
72,Henrique Coelho dos Santos Oliveira,Juventus,Free,Gimhae City,2019-01-01
