,Name,Old_Team,Fee,New_Team,Date
0,T. Richards,Manchester City,,Brighton,2019-07-18
1,T. Richards,Manchester City,,Brighton,2019-07-18
2,P. Sandler,Manchester City,Loan,Anderlecht,2019-07-17
3,V. Kompany,Manchester City,Free,Anderlecht,2019-07-01
4,S. Carson,Derby,Loan,Manchester City,2019-08-08
5,Ernest Agyiri,Tubize,,Manchester City,2019-08-01
6,Angeliño,PSV,€ 12M,Manchester City,2019-07-03
7,Collins Tanor,Thisted FC,,Manchester City,2019-07-01
8,E. Mangala,Everton,,Manchester City,2019-07-01
9,A. Palaversa,HNK Hajduk Split,€ 6.3M,Manchester City,2019-01-31
10,B. Barker,Manchester City,,Rangers,2019-08-09
11,L. Bolton,Manchester City,Loan,Luton,2019-08-08
12,T. Agyepong,Manchester City,Loan,Waasland-beveren,2019-08-05
13,E. Palmer-Brown,Manchester City,Loan,Austria Vienna,2019-08-05
14,T. Richards,Manchester City,,Brighton,2019-08-01
15,T. Adarabioyo,Manchester City,Loan,Blackburn,2019-07-31
16,Douglas Luiz,Manchester City,€ 16.7M,Aston Villa,2019-07-25
17,T. Richards,Manchester City,,Brighton U21,2019-07-18
18,Pablo Marí,Manchester City,,Flamengo,2019-07-18
19,P. Sandler,Manchester City,Loan,Anderlecht,2019-07-17
20,F. Delph,Manchester City,€ 9.5M,Everton,2019-07-15
21,A. Palaversa,Manchester City,Loan,Oostende,2019-07-03
22,V. Kompany,Manchester City,Free,Anderlecht,2019-07-01
23,A. Palaversa,Manchester City,Loan,HNK Hajduk Split,2019-01-31
24,Collins Tanor,Manchester City,Loan,Thisted FC,2019-01-31
25,P. Roberts,Manchester City,Loan,Norwich,2019-07-01
26,A. Murić,Manchester City,Loan,Nottingham Forest,2019-07-09
27,L. Nmecha,Preston,,Manchester City,2019-07-01
28,T. Adarabioyo,West Brom,,Manchester City,2019-07-01
29,L. Bolton,Manchester City,Loan,Wycombe,2019-01-24
30,L. Bolton,Wycombe,,Manchester City,2019-07-01
31,T. Ambrose,Manchester City,€ 2.5M,Metz,2019-07-01
32,Z. Steffen,Manchester City,Loan,Fortuna Dusseldorf,2019-07-10
33,L. Nmecha,Manchester City,Loan,VfL Wolfsburg,2019-08-03
34,Danilo,Manchester City,Swap,Juventus,2019-08-07
35,João Cancelo,Juventus,€ 65M,Manchester City,2019-08-07
36,Paolo Fernandes,Manchester City,Loan,Perugia,2019-07-17
37,R. Meshino,Gamba Osaka,,Manchester City,2019-08-21
38,K. Itakura,Kawasaki Frontale,€ 1.1M,Manchester City,2019-01-14
39,K. Itakura,Manchester City,Loan,Groningen,2019-01-15
40,Luka Ilić,Manchester City,Loan,NAC Breda,2019-08-03
41,Angeliño,PSV Eindhoven,€ 12M,Manchester City,2019-07-03
42,M. Moreno,Manchester City,Loan,Portimonense,2019-07-29
43,R. Meshino,Manchester City,Loan,Heart OF Midlothian,2019-08-30
44,B. Barker,Manchester City,,Rangers,2019-08-09
45,Rodri Hernández,Atletico Madrid,€ 70M,Manchester City,2019-07-04
46,Pedro Porro,Girona,€ 12M,Manchester City,2019-08-09
47,Douglas Luiz,Girona,,Manchester City,2019-07-01
48,P. Roberts,Girona,,Manchester City,2019-07-01
49,Aleix García,Girona,,Manchester City,2019-07-01
50,Y. Herrera,Manchester City,Loan,Granada CF,2019-07-26
51,Y. Herrera,Manchester City,Loan,Huesca,2019-01-16
52,Brahim Díaz,Manchester City,€ 15M,Real Madrid,2019-01-07
53,Pedro Porro,Manchester City,Loan,Valladolid,2019-08-12
54,E. Mangala,Manchester City,,Valencia,2019-08-12
55,Z. Steffen,Columbus Crew,,Manchester City,2019-07-09
56,Ernest Agyiri,Manchester City,Loan,Enosis,2019-08-15
